ROI dimension,Model,SFS,Accuracy,Recall,Specificity,Precision,F1-score
4,KNN,No,"0,744824","0,7836","0,707","0,7266","0,7536"
4,LIGHTGBM GBDT,No,"0,749448","0,7956","0,7044","0,728","0,7598"
4,LIGHTGBM GOSS,No,"0,777319","0,7916","0,7632","0,7686","0,7796"
4,Random Forest,No,"0,775366","0,7916","0,7594","0,7662","0,778"
4,Logistic regression,No,"0,728452","0,745","0,7124","0,7206","0,7322"
4,SVM,No,"0,7737","0,7922","0,756","0,7632","0,7768"
4,XGBOOST,No,"0,765663","0,7972","0,7348","0,7492","0,772"
4,KNN,Yes,"0,764972","0,7866","0,744","0,7532","0,7692"
4,LIGHTGBM GBDT,Yes,"0,757463","0,7918","0,723","0,7402","0,7646"
4,LIGHTGBM GOSS,Yes,"0,768837","0,7928","0,745","0,7558","0,7734"
4,Random Forest,Yes,"0,777502","0,7836","0,772","0,7734","0,778"
4,Logistic regression,Yes,"0,710848","0,7524","0,6698","0,6944","0,7216"
4,SVM,Yes,"0,7789","0,7964","0,7624","0,7692","0,782"
4,XGBOOST,Yes,"0,764568","0,7928","0,737","0,7498","0,7702"
8,KNN,No,"0,752508","0,812","0,6932","0,725","0,7656"
8,LIGHTGBM GBDT,No,"0,785804","0,7972","0,7746","0,7786","0,7874"
8,LIGHTGBM GOSS,No,"0,780977","0,7982","0,764","0,7708","0,7836"
8,Random Forest,No,"0,781734","0,7922","0,772","0,7752","0,7832"
8,Logistic regression,No,"0,744464","0,7602","0,729","0,7362","0,7476"
8,SVM,No,"0,7796","0,7996","0,7602","0,7682","0,783"
8,XGBOOST,No,"0,77276","0,8058","0,7408","0,7554","0,7792"
8,KNN,Yes,"0,767949","0,7996","0,7368","0,7514","0,7742"
8,LIGHTGBM GBDT,Yes,"0,751424","0,7988","0,7048","0,729","0,762"
8,LIGHTGBM GOSS,Yes,"0,778364","0,7954","0,7614","0,7682","0,7812"
8,Random Forest,Yes,"0,780946","0,7852","0,7772","0,7778","0,781"
8,Logistic regression,Yes,"0,708156","0,791","0,6262","0,6782","0,7294"
8,SVM,Yes,"0,7756","0,7944","0,7578","0,7652","0,7786"
8,XGBOOST,Yes,"0,764102","0,8066","0,7222","0,7428","0,7732"
16,KNN,No,"0,757802","0,8208","0,6956","0,7282","0,771"
16,LIGHTGBM GBDT,No,"0,792336","0,7992","0,7854","0,7872","0,7928"
16,LIGHTGBM GOSS,No,"0,792463","0,8","0,785","0,787","0,7928"
16,Random Forest,No,"0,786559","0,7798","0,7934","0,789","0,784"
16,Logistic regression,No,"0,75898","0,7846","0,7334","0,7452","0,7642"
16,SVM,No,"0,7869","0,7912","0,783","0,7834","0,7866"
16,XGBOOST,No,"0,802804","0,801","0,8044","0,802","0,8008"
16,KNN,Yes,"0,770342","0,8114","0,7296","0,7486","0,7784"
16,LIGHTGBM GBDT,Yes,"0,770342","0,8114","0,7296","0,7486","0,7784"
16,LIGHTGBM GOSS,Yes,"0,789553","0,7944","0,7842","0,785","0,7894"
16,Random Forest,Yes,"0,776651","0,794","0,7596","0,766","0,7792"
16,Logistic regression,Yes,"0,744906","0,776","0,7136","0,7294","0,7516"
16,SVM,Yes,"0,7865","0,7956","0,7782","0,7804","0,7874"
16,XGBOOST,Yes,"0,787443","0,7932","0,7816","0,7824","0,7874"
32,KNN,No,"0,763576","0,8414","0,6866","0,7268","0,7794"
32,LIGHTGBM GBDT,No,"0,786263","0,7972","0,775","0,7772","0,7864"
32,LIGHTGBM GOSS,No,"0,78462","0,7972","0,7716","0,7744","0,7854"
32,Random Forest,No,"0,786094","0,772","0,8004","0,7916","0,7814"
32,Logistic regression,No,"0,768631","0,8032","0,734","0,749","0,7748"
32,SVM,No,"0,7855","0,7976","0,7744","0,7768","0,7862"
32,XGBOOST,No,"0,797073","0,7962","0,7978","0,795","0,795"
32,KNN,Yes,"0,767505","0,8076","0,7278","0,7454","0,775"
32,LIGHTGBM GBDT,Yes,"0,777234","0,7996","0,7542","0,7624","0,7804"
32,LIGHTGBM GOSS,Yes,"0,777131","0,7992","0,7544","0,7626","0,7802"
32,Random Forest,Yes,"0,774944","0,7732","0,7768","0,7736","0,773"
32,Logistic regression,Yes,"0,758505","0,7994","0,7182","0,7374","0,7666"
32,SVM,Yes,"0,7738","0,7998","0,7496","0,759","0,7776"
32,XGBOOST,Yes,"0,776014","0,7936","0,758","0,7642","0,7782"
